object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,molt,molt,0.97,0.03,0.0,0.0,53.14132,9.391789,63.213203,34.0,319.32086,606.0,85.0,602.5461,85.49429,83.843094,101.98324,127.07728,101.98324,136.66138,159.4294,127.07728,159.4294,228.4182,-0.56243587,-0.46696284,0.029082509,179.0,153.0,119.0,225116.0,204223.0,168645.0,83.843094,136.66138,228.4182,631.0,101.0,576.0,72.0,225.0,211.0,199.0,197.64354,179.30026,148.06409,0.98612016,0.1660332,0.1660332,-0.98612016,14.007131,6.623021,0.45165288,0.42468524,0.9031287,1139.0,0.42986214,-0.31753117,-0.8452174,0.5472606,-0.65293646,0.52362186,0.7181395,0.68763936,0.106900394,685.0538,935.734,1163.3573,935.734,1301.173,1628.8983,1163.3573,1628.8983,2193.6768,-0.28496227,-0.75262624,-1.2452092,685.0538,1301.173,2193.6768,1536576.0,1496633.0,1413664.0,114.0,82.0,109.0,255.0,255.0,255.0,222.78903,216.99768,204.96796,-0.8400611,-0.76335925,-0.5235925,1139.0,604.1338,87.26316,0.71410656,21.919758,-3.0923975,1595.0,0.41104463,5.0,602.5461,85.49429,3667.2,603.0,86.0,91.2
1,0,2,molt,molt,0.92,0.08,0.0,0.0,50.24938,9.80249,57.526913,31.0,303.8772,646.0,109.0,646.4607,110.53024,62.508453,72.989044,86.85095,72.989044,103.87584,113.19568,86.85095,113.19568,146.51942,-0.10678291,0.023397084,0.45966992,178.0,157.0,121.0,192656.0,172574.0,142151.0,62.508453,103.87584,146.51942,668.0,132.0,626.0,87.0,222.0,208.0,185.0,194.20967,173.96573,143.29738,0.66044563,-0.75087386,0.75087386,0.66044563,12.897974,6.480328,0.77209926,0.8265591,0.96975267,992.0,0.43762574,-0.20410386,-0.87568563,0.57482636,-0.68538225,0.44701883,0.6914177,0.6989941,0.18261664,756.52075,1027.086,1186.8175,1027.086,1422.998,1666.165,1186.8175,1666.165,2156.3643,0.7609065,-0.3000731,-1.3955709,756.52075,1422.998,2156.3643,1444454.0,1390529.0,1298592.0,107.0,82.0,90.0,254.0,255.0,255.0,217.04793,208.945,195.13028,-1.0389267,-0.7738878,-0.3193211,992.0,646.54346,107.30958,0.5248677,18.486265,-4.3644867,1890.0,0.24938953,4.0,646.4607,110.53024,41352.332,646.5,109.0,224.5
2,0,3,0,juvenile,0.04,0.9,0.06,0.0,121.19818,20.295021,209.06602,128.0,2597.7627,539.0,239.0,541.0151,237.28644,405.20377,413.4987,293.26715,413.4987,446.11273,309.41348,293.26715,309.41348,286.54028,-0.017373936,0.0426597,0.646914,74.0,51.0,39.0,2268533.0,1895844.0,1607159.0,405.20377,446.11273,286.54028,625.0,316.0,469.0,151.0,208.0,205.0,166.0,125.83387,105.16108,89.147934,0.69918525,-0.71494055,0.71494055,0.69918525,43.752346,33.673588,0.32475492,0.3294818,0.496809,18028.0,0.60550535,-0.34203506,-0.7185926,0.6367752,-0.3333864,0.6952488,0.47736844,0.87855875,-0.0159322,1305.0404,1629.7142,1376.8934,1629.7142,2070.7476,1746.7113,1376.8934,1746.7113,1764.344,-0.53672373,-0.8084071,-0.8854346,1305.0404,2070.7476,1764.344,3790603.0,3677691.0,3563787.0,104.0,79.0,79.0,251.0,255.0,255.0,204.64304,198.54727,192.39793,-0.7913272,-0.70134217,-0.37294078,18028.0,559.32184,222.97977,0.7003885,81.0763,1.1032846,25740.0,1.1517562,6.0,541.0151,237.28644,2010454.6,546.5,233.0,1285.3334
3,0,4,adult,adult,0.0,0.28,0.72,0.0,258.00775,44.523785,310.5513,163.0,7257.3765,1408.0,331.0,1414.4481,321.96875,649.20483,677.71704,504.8649,677.71704,746.49347,571.88074,504.8649,571.88074,554.09607,2.921549,4.1682105,6.4719,55.0,39.0,0.0,4501242.0,3686596.0,2919492.0,649.20483,746.49347,554.09607,1518.0,477.0,1323.0,200.0,255.0,255.0,236.0,117.11615,95.92017,75.96118,-0.17959295,-0.983741,0.983741,-0.17959295,68.42821,46.069897,1.3189363,1.6626271,2.1355126,38434.0,0.5809212,-0.4893809,-0.65041286,0.63243955,-0.2316456,0.739162,0.51239705,0.8407417,-0.17493601,1664.2524,1999.96,1948.8676,1999.96,2438.1118,2383.7454,1948.8676,2383.7454,2508.7397,0.077388994,-0.15533864,-0.23113672,1664.2524,2438.1118,2508.7397,5181317.0,5108770.0,4951775.0,72.0,60.0,45.0,254.0,255.0,255.0,206.86377,203.96735,197.69933,-1.1540687,-1.0865045,-0.94461983,38434.0,1433.6951,377.54465,0.7115431,125.1203,2.0751011,54015.0,1.5329573,4.0,1414.4481,321.96875,9204342.0,1420.0,338.0,3895.25
4,0,5,adult,adult,0.0,0.03,0.97,0.0,341.3151,30.565716,440.96045,252.0,7702.5605,954.0,493.0,949.9281,499.12115,531.5953,483.76794,328.0755,483.76794,471.11243,316.8726,328.0755,316.8726,327.01456,1.5360457,3.9456573,7.5453463,48.0,42.0,0.0,7199099.0,6250859.0,5326075.0,531.5953,471.11243,327.01456,1150.0,619.0,788.0,357.0,255.0,255.0,255.0,107.6855,93.50155,79.66845,0.9856304,0.16891627,0.16891627,-0.9856304,86.57828,63.71528,0.9369925,1.3710077,1.9284455,66853.0,0.6473151,-0.3804461,-0.66048765,0.6113934,-0.25830075,0.7479832,0.45517173,0.8879986,-0.06540024,1741.8895,2126.796,1766.9425,2126.796,2644.9585,2211.439,1766.9425,2211.439,2183.9539,-0.57769954,-0.86061263,-0.9394405,1741.8895,2644.9585,2183.9539,6840508.0,6677021.0,6411394.0,66.0,48.0,58.0,255.0,255.0,255.0,202.23232,197.399,189.54602,-0.8055148,-0.7063062,-0.39977935,66853.0,1012.8567,459.74435,0.70487326,164.94655,2.7826886,94844.0,1.5667386,6.0,949.9281,499.12115,31326940.0,968.5,487.5,4665.1665
5,0,6,molt,molt,0.97,0.03,0.0,0.0,101.8332,18.704348,116.225395,50.0,935.2174,659.0,401.0,659.4277,401.7434,121.002106,170.96654,188.68103,170.96654,262.1992,287.29504,188.68103,287.29504,425.38608,2.5583637,3.1991262,-0.100261986,146.0,96.0,110.0,729443.0,654101.0,548169.0,121.002106,262.1992,425.38608,709.0,431.0,610.0,371.0,241.0,241.0,218.0,198.70416,178.1806,149.32416,0.9231666,-0.38440016,-0.38440016,-0.9231666,27.500252,10.682897,0.009264794,-0.12018689,0.6209432,3671.0,0.37658048,-0.4396948,-0.8153868,0.56812406,-0.58561707,0.5781762,0.7317255,0.6809707,-0.029269217,158.90578,217.54475,236.01637,217.54475,317.75516,345.55075,236.01637,345.55075,479.82407,3.8069112,2.6994388,-0.12131839,158.90578,317.75516,479.82407,2435737.0,2435409.0,2378364.0,161.0,141.0,159.0,255.0,255.0,255.0,237.23941,237.20746,231.6513,-1.6556104,-1.5852793,-0.86258054,3671.0,658.30804,398.4883,0.61801344,33.321545,-5.260666,5940.0,0.12526187,4.0,659.4277,401.7434,394034.9,659.0,400.5,567.25
6,0,7,juvenile,juvenile,0.02,0.92,0.06,3.0,141.7921,58.8718,177.30865,7.0,469.55844,859.0,704.0,857.13727,699.8155,278.33133,307.2758,216.7181,307.2758,357.29974,243.84195,216.7181,243.84195,236.3287,0.82230633,0.7894851,-0.3365943,82.0,62.0,0.0,1952599.0,1700011.0,1370787.0,278.33133,357.29974,236.3287,930.0,779.0,792.0,626.0,255.0,255.0,187.0,146.0433,127.15116,102.52708,0.38722667,-0.92198455,0.92198455,0.38722667,38.107998,28.693682,-0.35759062,-0.25649056,-0.17168084,13370.0,0.575504,-0.30055597,-0.7605664,0.65265155,-0.39161307,0.6486025,0.4927891,0.8696582,0.02921658,1779.9337,2220.7434,1947.7195,2220.7434,2823.129,2499.3867,1947.7195,2499.3867,2592.8333,-1.0222278,-1.2186701,-1.1127459,1779.9337,2823.129,2592.8333,3207313.0,3061147.0,2882574.0,87.0,60.0,45.0,255.0,255.0,255.0,196.32204,187.3751,176.44452,-0.32371143,-0.2394296,-0.042294055,13370.0,866.3058,705.77155,0.63322914,72.30484,-0.2625352,21114.0,1.2085572,12.0,857.13727,699.8155,1032743.3,860.5,702.0,645.3333
7,0,8,0,juvenile,0.01,0.85,0.14,0.0,247.4207,43.80467,277.6518,128.0,5606.9976,1254.0,833.0,1256.2874,827.0876,1062.6019,1116.6373,1006.4529,1116.6373,1209.4338,1117.4895,1006.4529,1117.4895,1141.8704,0.9147749,2.0880852,5.0448813,68.0,53.0,36.0,3832700.0,3325150.0,2710387.0,1062.6019,1209.4338,1141.8704,1342.0,959.0,1168.0,710.0,239.0,239.0,237.0,128.0897,111.127266,90.58175,-0.22076184,-0.97532773,0.97532773,-0.22076184,59.75703,41.046738,1.1155703,1.4157819,2.1321197,29922.0,0.55724764,-0.5746317,-0.59939426,0.60251397,-0.21688601,0.76807386,0.5713598,0.7891507,-0.22536439,1703.3105,2067.9229,2143.7283,2067.9229,2542.8062,2654.5144,2143.7283,2654.5144,2908.3167,-0.37896833,-0.534385,-0.6970863,1703.3105,2542.8062,2908.3167,4715038.0,4635862.0,4452508.0,88.0,70.0,51.0,255.0,255.0,255.0,208.6577,205.15387,197.03978,-0.95928454,-0.93062043,-0.78268653,29922.0,1250.51,849.4308,0.6906246,110.23102,1.8727068,43326.0,-0.87211627,4.0,1256.2874,827.0876,2334870.8,1254.5,834.0,3351.0
8,0,9,adult,adult,0.0,0.05,0.95,1.0,231.03679,179.56854,359.1371,2.0,542.1909,1540.0,985.0,1535.9058,984.2346,716.53534,667.41797,430.8793,667.41797,647.52576,428.44342,430.8793,428.44342,335.9898,0.053893104,0.52277774,2.7356288,60.0,45.0,33.0,5964417.0,4920004.0,3691826.0,716.53534,647.52576,335.9898,1653.0,1127.0,1405.0,818.0,212.0,201.0,200.0,116.13414,95.7982,71.88415,-0.17846662,-0.98394597,0.98394597,-0.17846662,74.64374,56.117634,0.7847478,0.97556895,1.4425464,51358.0,0.65428376,-0.4938407,-0.5727426,0.6263685,-0.07050032,0.7763325,0.42376313,0.86668974,-0.26319906,1425.208,1725.6705,1935.0552,1725.6705,2139.1294,2457.4683,1935.0552,2457.4683,3000.5022,0.2414403,-0.31798655,-0.9786577,1425.208,2139.1294,3000.5022,6080081.0,5928642.0,5552704.0,79.0,64.0,48.0,255.0,255.0,255.0,209.074,203.86652,190.93924,-0.97900265,-0.81714123,-0.52005905,51358.0,1513.4512,947.1386,0.67019,141.5902,0.98291165,76632.0,0.9171939,6.0,1535.9058,984.2346,18162574.0,1528.5,972.0,4212.3335
9,0,10,juvenile,juvenile,0.01,0.97,0.02,0.0,173.92528,31.337837,209.37973,85.0,2663.716,1019.0,1040.0,1012.8569,1042.5966,669.751,673.9376,527.1226,673.9376,704.2041,558.6266,527.1226,558.6266,504.25363,0.08856742,0.8492964,4.215568,79.0,58.0,36.0,1999060.0,1642786.0,1288618.0,669.751,704.2041,504.25363,1109.0,1106.0,929.0,988.0,241.0,239.0,226.0,129.53152,106.44632,83.497574,0.93748176,-0.34803435,-0.34803435,-0.93748176,47.309055,26.403717,0.7128916,0.97517604,1.6310822,15433.0,0.5993902,-0.5164717,-0.61154586,0.61993283,-0.18378924,0.76282686,0.506374,0.83634835,-0.21001627,1367.3469,1725.1891,1926.2847,1725.1891,2216.2007,2500.8152,1926.2847,2500.8152,2974.697,-0.97696495,-1.1585711,-1.2612987,1367.3469,2216.2007,2974.697,3548513.0,3439614.0,3254266.0,106.0,84.0,64.0,255.0,255.0,255.0,206.93451,200.58397,189.77525,-0.48937672,-0.43890074,-0.32248262,15433.0,1033.4976,1056.8739,0.72660077,75.42199,0.45979804,21240.0,1.1868333,4.0,1012.8569,1042.5966,2078630.9,1018.5,1046.5,1451.75
