object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of molt,Probability of juvenile,Probability of adult,Number of Holes,Euclidean Diameter,Average Branch Length,Diameter,Number of Branches,Length of the Skeleton,Center of the Skeleton_0,Center of the Skeleton_1,Center of the object_0,Center of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Radii of the object_0,Radii of the object_1,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Object Area,Defect Center_0,Defect Center_1,Convexity,Mean Defect Displacement,Kurtosis of Defect Area,Convex Hull Area,Skewness of Defect Area,Number of Defects,Object Center_0,Object Center_1,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Mean Defect Area
0,0,1,0,juvenile,0.2,0.73,0.07,1.0,31.575306,61.662952,121.08326,2.0,180.71068,1763.0,7.0,1730.0204,20.337065,238.93132,267.83533,241.43073,267.83533,320.62555,299.61377,241.43073,299.61377,366.87637,-0.17919165,-0.4023765,-0.17172039,101.0,68.0,45.0,966612.0,769954.0,555513.0,238.93132,320.62555,366.87637,1806.0,54.0,1633.0,0.0,193.0,172.0,162.0,148.23064,118.073,85.18832,0.99541724,0.095626965,0.095626965,-0.99541724,45.355698,12.241747,0.019504447,0.33798024,0.68825513,6521.0,0.5047375,-0.52526593,-0.6850809,0.60115963,-0.35567638,0.7156126,0.619554,0.77303946,-0.13624546,473.01495,652.26544,710.7798,652.26544,926.2094,1021.15247,710.7798,1021.15247,1259.008,-0.17282104,-0.5034808,-0.450428,473.01495,926.2094,1259.008,1823267.0,1745882.0,1656606.0,138.0,106.0,75.0,240.0,243.0,255.0,210.39314,201.46342,191.16154,-0.9823395,-0.8895257,-0.8066149,6521.0,1693.5254,40.74619,0.6980304,54.8844,3.9412751,9342.0,1.982639,4.0,1730.0204,20.337065,1484188.9,1719.0,26.5,705.25
1,0,2,0,juvenile,0.01,0.61,0.38,1.0,278.21753,157.7523,314.8894,1.0,168.82338,492.0,217.0,485.6794,212.96786,682.84357,619.4447,433.33517,619.4447,593.01404,416.8582,433.33517,416.8582,395.37997,-0.04474907,0.9973786,2.6514509,62.0,45.0,39.0,4522583.0,3743965.0,3139674.0,682.84357,593.01404,395.37997,615.0,321.0,365.0,94.0,222.0,214.0,183.0,113.467384,93.93259,78.77149,0.8133881,0.5817214,0.5817214,-0.8133881,68.082146,47.677643,0.8241477,1.140862,1.5658715,39858.0,0.64947593,-0.4170997,-0.6357742,0.6081527,-0.2169602,0.7635958,0.4564333,0.88258487,-0.112749875,926.86694,1187.032,919.2855,1187.032,1553.2479,1216.9741,919.2855,1216.9741,1233.4613,0.15261295,-0.26434568,-0.8283926,926.86694,1553.2479,1233.4613,5238979.0,5025540.0,4771071.0,101.0,68.0,81.0,242.0,245.0,247.0,202.37877,194.13373,184.30374,-1.090805,-0.968052,-0.3819958,39858.0,498.51498,192.91837,0.7023436,115.396065,-0.234729,56750.0,1.022055,6.0,485.6794,212.96786,12112426.0,489.5,207.0,2815.3333
2,0,3,0,adult,0.04,0.12,0.84,1.0,367.21246,170.50357,402.46298,2.0,348.42136,2397.0,321.0,2398.5625,312.4351,240.93332,264.53104,201.16515,264.53104,311.31036,240.82072,201.16515,240.82072,242.51184,0.6310882,0.40287814,0.40857986,68.0,48.0,33.0,8246098.0,6820005.0,5243065.0,240.93332,311.31036,242.51184,2512.0,503.0,2282.0,142.0,194.0,176.0,159.0,139.18405,115.11334,88.49652,-0.19997792,-0.9798004,0.9798004,-0.19997792,87.99077,54.276157,-0.046702866,0.020377526,0.29964656,59246.0,0.5534333,-0.4719742,-0.6862594,0.6400343,-0.28625953,0.7130298,0.53297997,0.833844,-0.14365415,671.18915,886.44965,863.49835,886.44965,1208.5092,1215.0076,863.49835,1215.0076,1475.1884,0.2716128,-0.24830937,-0.78451157,671.18915,1208.5092,1475.1884,6410406.0,6148989.0,5728765.0,98.0,79.0,60.0,240.0,243.0,240.0,203.4662,195.16882,181.83092,-1.0636777,-0.9151575,-0.6075162,59246.0,2391.3623,345.82623,0.7135493,156.39421,-1.2179883,83030.0,-0.08791755,5.0,2398.5625,312.4351,13915270.0,2396.5,322.0,4756.8
3,0,4,0,juvenile,0.03,0.88,0.09,0.0,123.42204,26.652422,205.95332,122.0,3251.5955,1599.0,354.0,1598.793,360.12787,304.28738,332.0603,270.39304,332.0603,380.15173,306.56183,270.39304,306.56183,296.3183,-0.85755527,-0.78906333,-0.30365402,101.0,74.0,45.0,2550917.0,2105398.0,1633083.0,304.28738,380.15173,296.3183,1692.0,446.0,1516.0,286.0,193.0,175.0,146.0,138.16373,114.03336,88.45166,0.8762184,-0.48191428,-0.48191428,-0.8762184,43.830116,34.34663,0.22703962,0.2865004,0.5880367,18463.0,0.56029487,-0.41023996,-0.7195643,0.62998146,-0.3529571,0.69176924,0.53776675,0.8409069,-0.06068351,863.1352,1116.2803,1004.9743,1116.2803,1481.4521,1355.136,1004.9743,1355.136,1467.0653,0.86838,0.14751917,-0.51813596,863.1352,1481.4521,1467.0653,3787114.0,3640458.0,3370886.0,88.0,62.0,53.0,246.0,248.0,249.0,207.889,199.8385,185.04068,-1.142726,-0.9653247,-0.57435966,18463.0,1612.4622,375.7285,0.6556463,84.57646,1.2595869,28160.0,0.9415054,6.0,1598.793,360.12787,2615811.8,1603.5,365.5,1616.1666
4,0,5,0,juvenile,0.3,0.66,0.04,0.0,4.1231055,2.2071068,4.4142137,2.0,4.4142137,1.0,359.0,11.047402,333.70557,300.8285,343.93457,142.96216,343.93457,419.25803,163.95815,142.96216,163.95815,266.12576,-0.6694528,-0.8931965,0.39364988,82.0,53.0,58.0,140762.0,105213.0,96005.0,300.8285,419.25803,266.12576,30.0,362.0,0.0,306.0,166.0,142.0,141.0,128.3154,95.90975,87.51595,0.054750703,-0.99850005,0.99850005,0.054750703,12.930623,7.685116,-0.32442322,0.05428846,0.9258774,1097.0,0.59774256,-0.22817148,-0.7685321,0.7066977,-0.3026661,0.63950884,0.3785263,0.92538154,0.019668143,1388.201,1813.9688,1421.1506,1813.9688,2393.4883,1871.6014,1421.1506,1871.6014,1706.4432,-1.1195068,-1.1707978,-0.76522875,1388.201,2393.4883,1706.4432,769304.0,715657.0,702553.0,105.0,68.0,66.0,240.0,242.0,248.0,191.36916,178.02412,174.76443,-0.5506274,-0.5037179,-0.4317364,1097.0,20.996569,333.11322,0.6529762,22.409243,0.0,1680.0,-1.5980128,3.0,11.047402,333.70557,27940.334,14.5,333.5,194.33333
5,0,6,0,molt,0.87,0.13,0.0,0.0,69.354164,14.574896,87.59798,48.0,699.59503,348.0,348.0,345.68903,347.9168,32.84186,38.790264,52.844055,38.790264,64.64521,85.10277,52.844055,85.10277,179.16689,0.4230155,0.098252736,-0.2032175,163.0,126.0,81.0,494298.0,408858.0,313612.0,32.84186,64.64521,179.16689,377.0,381.0,317.0,308.0,203.0,182.0,158.0,176.47197,145.96858,111.9643,-0.30597597,-0.95203924,0.95203924,-0.30597597,18.273148,12.84477,0.70540667,0.6913419,0.5011427,2801.0,0.29364195,-0.54902107,-0.78252816,0.46005058,-0.636412,0.6191391,0.8379307,0.5418077,-0.06570018,353.77072,521.39825,624.36224,521.39825,788.13495,944.03864,624.36224,944.03864,1264.9043,-0.6099967,-0.7082035,-0.91005987,353.77072,788.13495,1264.9043,1981130.0,1912283.0,1805607.0,160.0,141.0,111.0,250.0,253.0,255.0,220.83714,213.16275,201.27155,-0.7790436,-0.79384047,-0.5181963,2801.0,347.93857,337.05194,0.6394977,32.7563,1.863787,4380.0,-0.98685175,4.0,345.68903,347.9168,53512.25,346.5,344.0,394.75
6,0,7,0,molt,0.98,0.02,0.0,0.0,25.632011,5.9793153,27.727922,16.0,95.669044,1246.0,337.0,1245.1514,337.44623,55.44823,82.5548,107.091064,82.5548,140.5719,171.15889,107.091064,171.15889,279.08942,-0.599493,-0.6830943,-0.98073626,197.0,168.0,112.0,54160.0,49233.0,37739.0,55.44823,140.5719,279.08942,1253.0,351.0,1239.0,325.0,230.0,218.0,185.0,215.77689,196.14742,150.35458,0.25542513,-0.9668288,0.9668288,0.25542513,6.7711067,2.9756322,-0.3084865,-0.5149381,-0.045268815,251.0,0.32998872,-0.35052466,-0.876493,0.5332929,-0.6969155,0.4794867,0.77891344,0.6256527,0.043041945,309.79678,507.83762,691.5354,507.83762,858.16504,1175.671,691.5354,1175.671,1709.8666,-0.36651996,-0.51243865,-0.42392668,309.79678,858.16504,1709.8666,1071526.0,1043927.0,971177.0,180.0,151.0,101.0,253.0,255.0,255.0,230.48526,224.54872,208.90019,-0.99453866,-0.96117204,-0.8734119,251.0,1246.2743,337.61948,0.6895604,9.739663,-4.5131154,364.0,-0.027765723,4.0,1245.1514,337.44623,576.9167,1245.5,337.5,28.25
7,0,8,0,adult,0.01,0.43,0.56,0.0,260.2787,32.60779,342.26196,182.0,5934.618,640.0,475.0,632.5851,468.47266,276.78806,298.373,216.10808,298.373,341.1253,247.3029,216.10808,247.3029,245.29129,-0.20110981,-0.3827219,0.29368117,75.0,53.0,45.0,5621293.0,4578684.0,3494266.0,276.78806,341.1253,245.29129,779.0,571.0,508.0,350.0,190.0,177.0,158.0,136.97775,111.57181,85.14708,0.867042,0.49823502,0.49823502,-0.867042,74.12524,44.94149,0.32603353,0.39140642,0.82830846,41038.0,0.57350653,-0.40354025,-0.7129134,0.6429109,-0.31762183,0.6969806,0.50769657,0.85806274,-0.07728224,1058.194,1341.3616,957.399,1341.3616,1740.6713,1254.114,957.399,1254.114,1209.8613,-0.26537067,-0.69059634,-0.6797766,1058.194,1740.6713,1209.8613,5337413.0,5040666.0,4683998.0,85.0,60.0,64.0,250.0,253.0,248.0,200.67726,189.5201,176.11002,-0.834433,-0.6683526,-0.3450672,41038.0,665.67053,441.55725,0.6852115,117.8698,1.4870492,59891.0,1.410341,4.0,632.5851,468.47266,24155536.0,643.0,460.0,4713.25
8,0,9,0,molt,0.79,0.2,0.01,0.0,124.2578,23.292938,144.40916,74.0,1723.6774,1144.0,513.0,1143.6787,514.2473,82.431335,125.402824,215.6658,125.402824,208.24677,355.953,215.6658,355.953,671.0088,-0.4484621,-0.47680914,-0.5235351,188.0,153.0,91.0,1436424.0,1249752.0,934279.0,82.431335,208.24677,671.0088,1192.0,574.0,1097.0,455.0,238.0,226.0,209.0,208.35857,181.28111,135.5206,-0.56433356,-0.82554686,0.82554686,-0.56433356,34.473145,15.954196,0.42098045,0.56355935,0.65825206,6894.0,0.28015345,-0.54330266,-0.7914141,0.45982876,-0.64773977,0.607446,0.84265745,0.5340931,-0.06835965,56.37045,82.631905,142.55693,82.631905,138.009,236.40999,142.55693,236.40999,451.2151,1.5269392,2.4762683,0.55445814,56.37045,138.009,451.2151,3075463.0,3067267.0,2955069.0,208.0,185.0,143.0,255.0,255.0,255.0,244.93971,244.28696,235.35115,-1.2715781,-1.6520455,-1.1788349,6894.0,1144.5022,513.61346,0.60981864,45.798016,-3.3190024,11305.0,0.604034,5.0,1143.6787,514.2473,1254965.8,1144.0,514.0,882.2
9,0,10,0,adult,0.0,0.04,0.96,1.0,325.203,27.520971,370.5879,223.0,6325.0,1438.0,579.0,1432.0582,587.48663,538.002,535.86346,360.72754,535.86346,561.7371,379.88217,360.72754,379.88217,333.2562,-0.016759604,0.058013022,1.5155619,60.0,42.0,25.0,6996467.0,5777222.0,4494082.0,538.002,561.7371,333.2562,1584.0,738.0,1287.0,458.0,225.0,219.0,192.0,123.2597,101.77975,79.17413,0.76100564,-0.6487453,-0.6487453,-0.76100564,80.872444,56.90092,0.3876465,0.47485,0.94922334,56762.0,0.6202799,-0.41108763,-0.6680268,0.63794,-0.23113778,0.7345801,0.45638302,0.88180625,-0.11887911,1052.3145,1326.71,1222.5533,1326.71,1718.0836,1617.171,1222.5533,1617.171,1762.6248,0.694512,0.026309408,-0.78765285,1052.3145,1718.0836,1762.6248,6320541.0,6079721.0,5651767.0,75.0,58.0,53.0,255.0,255.0,255.0,207.6325,199.72147,185.663,-1.1429389,-0.9579303,-0.47806495,56762.0,1441.3254,619.0312,0.6825637,138.69199,-0.18482672,83160.0,0.99410534,6.0,1432.0582,587.48663,29530044.0,1435.0,597.5,4399.6665
