object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,apterous adult,0.02,0.4175,0.3425,0.0,0.13,0.09,793.8295,379.4563,4567.8335,784.17065,327.18958,-1.5795704,159.85898,0.40338522,20176718.0,93562.0,0.70707124,787.0,342.5,66155.0,6.0,77.71964,69.23851,603.4515,408.63348,141.72237,20.0,9.0,0.0,71.100555,49.068295,38.323967,644.0,180.0,603.4515,478.50064,223.32674,478.50064,408.63348,192.2209,223.32674,192.2209,141.72237,66155.0,0.7379694,-0.35850394,-0.57173073,0.6056003,-0.021973668,0.7954656,0.29774055,0.93326956,-0.20089419,931.0,506.0,784.17065,327.18958,-0.18620676,0.12821023,0.78464067,0.02127075,-0.99977374,0.99977374,0.02127075,4703657.0,3246113.0,2535322.0,154.0,126.0,98.0,0.7296348,0.9356217,0.85530853,2595.6887,2759.6094,1425.4415,149.8399,133.29852,123.50065,33.0,20.0,9.0,2595.6887,2642.1492,1638.1993,2642.1492,2759.6094,1750.8313,1638.1993,1750.8313,1425.4415,-0.9151152,-1.2382977,-1.066344,4825744.0,4293012.0,3977462.0,212.0,210.0,190.0,-0.649756,-0.46484223,-0.2741072,297.43066,31.15988,785.0,337.0,224.0,371.8772,7113.5825,1.0
1,0,2,0,apterous adult,0.07,0.31500003,0.285,0.0,0.22,0.11,1082.3665,389.89798,1437.0,1092.3451,427.1098,2.1795826,107.521255,1.4749749,3630382.5,40320.0,0.71488094,1089.5,416.5,28824.0,8.0,58.760227,39.620964,334.88245,253.90326,119.656586,0.0,20.0,0.0,73.755936,48.05086,34.87892,1006.0,297.0,334.88245,277.32837,158.00323,277.32837,253.90326,136.6432,158.00323,136.6432,119.656586,28824.0,0.70487916,-0.27516058,-0.65378284,0.6094593,-0.23662686,0.7566817,0.36291155,0.93182313,-0.0009058143,1174.0,537.0,1092.3451,427.1098,1.0162493,2.5825026,1.5119582,-0.16008192,-0.98710376,0.98710376,-0.16008192,2125941.0,1385018.0,1005350.0,167.0,229.0,128.0,1.0682908,1.3970263,0.9421792,1685.4596,2200.6912,1375.4353,156.08871,134.5349,117.58768,58.0,33.0,15.0,1685.4596,1908.4213,1359.7352,1908.4213,2200.6912,1572.4305,1359.7352,1572.4305,1375.4353,-1.1927524,-1.3815634,-0.9744573,3587231.0,3091881.0,2702400.0,211.0,198.0,187.0,-0.36918855,-0.24071853,-0.19344264,213.78961,50.50067,1094.0,425.0,45.0,284.4508,2355.329,1.0
2,0,3,0,nymph,0.04,0.17,0.29,0.01,0.25,0.24,1245.6885,567.779,2929.75,1239.5316,583.53827,1.984067,100.651,-0.9369811,1111260.9,36656.0,0.6802979,1241.5,578.5,24937.0,4.0,55.483383,36.14253,575.51324,478.38654,189.62532,42.0,15.0,0.0,83.064644,52.823112,35.347034,1163.0,463.0,575.51324,511.93207,279.55692,511.93207,478.38654,257.331,279.55692,257.331,189.62532,24937.0,0.6907376,-0.30688435,-0.6547546,0.6292359,-0.1910571,0.75336534,0.35629153,0.93237287,-0.061132345,1321.0,695.0,1239.5316,583.53827,-0.2829818,-0.20741895,0.34091976,-0.169204,-0.98558104,0.98558104,-0.169204,2071383.0,1317250.0,881449.0,152.0,121.0,91.0,0.83662665,0.87901884,0.7215435,1873.5088,2422.9036,1495.5161,158.47017,136.2856,119.23464,39.0,25.0,20.0,1873.5088,2107.8325,1473.7195,2107.8325,2422.9036,1708.056,1473.7195,1708.056,1495.5161,-1.1582146,-1.3948938,-1.0997839,3405207.0,2928505.0,2562114.0,218.0,206.0,192.0,-0.34958982,-0.19341932,-0.12996466,225.43513,113.43622,1240.0,578.0,3.0,253.50967,340.30865,0.0
3,0,4,0,nymph,0.02,0.25833333,0.2916667,0.0,0.22,0.21,254.7249,905.5507,1872.8,267.96967,926.18414,2.551842,91.72988,1.0704186,2615240.8,31243.0,0.70028484,264.0,920.0,21879.0,5.0,48.555634,36.713707,200.69447,151.18163,84.96898,42.0,20.0,0.0,79.95539,50.940994,38.666897,186.0,821.0,200.69447,162.45291,88.286476,162.45291,151.18163,78.10928,88.286476,78.10928,84.96898,21879.0,0.7053173,-0.31378618,-0.63566166,0.60817003,-0.19286837,0.7700201,0.3642207,0.9296989,-0.05480196,343.0,1020.0,267.96967,926.18414,0.54346824,0.37772673,0.9612173,-0.32649374,-0.9451994,0.9451994,-0.32649374,1749344.0,1114538.0,845993.0,140.0,106.0,90.0,0.8326743,0.69110733,0.4726503,1370.8785,1887.7291,1200.0875,159.36197,135.52391,120.47372,70.0,36.0,36.0,1370.8785,1595.1755,1162.0491,1595.1755,1887.7291,1373.916,1162.0491,1373.916,1200.0875,-1.2798223,-1.4263916,-0.910557,3158873.0,2686355.0,2388030.0,211.0,194.0,187.0,-0.33807096,-0.23635238,-0.21602094,195.5633,84.54857,268.0,916.0,6.0,223.40916,584.94824,1.0
4,0,5,0,apterous adult,0.05,0.5035,0.3165,0.0,0.11,0.02,866.49854,975.04663,6390.0,851.10974,1043.871,-4.018448,149.15399,0.34830418,19246264.0,80433.0,0.68222,856.0,1022.0,54873.0,4.0,79.779564,56.638054,430.56992,287.94693,117.98634,20.0,0.0,0.0,60.533432,37.930603,30.685766,735.0,857.0,430.56992,334.00198,163.69252,334.00198,287.94693,137.4362,163.69252,137.4362,117.98634,54873.0,0.7378313,-0.31539756,-0.5967657,0.59899676,-0.10158961,0.79428107,0.3111395,0.9435062,-0.11396612,978.0,1188.0,851.10974,1043.871,0.24192804,0.42586762,0.6483212,0.035805717,-0.9993588,0.9993588,0.035805717,3321651.0,2081366.0,1683820.0,146.0,121.0,84.0,0.83543235,1.0009974,0.68413424,1909.6636,2395.744,1408.4281,153.1812,132.09904,117.79696,39.0,25.0,25.0,1909.6636,2115.6692,1422.0375,2115.6692,2395.744,1628.5292,1422.0375,1628.5292,1408.4281,-1.336566,-1.5366559,-1.152643,4661610.0,4020038.0,3584797.0,212.0,197.0,183.0,-0.3332853,-0.20021929,-0.18193315,282.9364,31.916773,854.0,1028.0,228.0,365.16653,7277.0244,0.0
5,0,6,0,larvae-nymph small,0.0,0.135,0.18333334,0.01,0.46166667,0.21,82.63551,997.2532,1736.0,85.61824,996.84814,-4.229718,60.877247,-0.19083743,2186958.0,18522.0,0.6250945,84.5,997.0,11578.0,4.0,39.313553,24.268734,154.63797,123.6557,79.36366,53.0,20.0,9.0,82.767746,51.935394,40.526257,22.0,924.0,154.63797,122.725365,67.80412,122.725365,123.6557,62.769012,67.80412,62.769012,79.36366,11578.0,0.69048846,-0.34063366,-0.63811785,0.6128235,-0.1931847,0.76624215,0.38428247,0.92013496,-0.0753565,148.0,1071.0,85.61824,996.84814,0.022991482,-0.1700097,0.54774773,-0.5201617,-0.8540678,0.8540678,-0.5201617,958285.0,601308.0,469213.0,125.0,93.0,82.0,0.4544046,0.34569323,0.4018783,1302.4812,1840.9283,1175.0022,156.46672,132.17087,118.29612,70.0,42.0,33.0,1302.4812,1536.2622,1126.1403,1536.2622,1840.9283,1346.9,1126.1403,1346.9,1175.0022,-1.3204858,-1.4349244,-0.9848046,2412091.0,2037546.0,1823653.0,208.0,193.0,185.0,-0.26591152,-0.19339639,-0.2045464,150.26976,20.852774,82.0,1005.0,98.0,182.92389,2043.5719,0.0
6,0,7,0,larvae-nymph small,0.01,0.21,0.195,0.0,0.365,0.22,1315.0043,1031.0721,1307.6666,1310.5294,1048.8385,0.3927669,79.75074,1.1994708,2493389.8,23875.0,0.6713717,1312.0,1043.0,16029.0,6.0,47.3148,27.407232,193.3427,170.37256,123.26706,45.0,20.0,0.0,98.53459,63.622746,37.305946,1250.0,948.0,193.3427,171.7928,97.09734,171.7928,170.37256,98.05877,97.09734,98.05877,123.26706,16029.0,0.6579007,-0.3736494,-0.65387523,0.622879,-0.21805036,0.751316,0.4233065,0.9015765,-0.08928287,1375.0,1139.0,1310.5294,1048.8385,0.26755425,-0.092322044,0.59947896,0.3846737,-0.9230526,0.9230526,0.3846737,1579411.0,1019809.0,597977.0,147.0,110.0,91.0,-0.020293413,0.1957016,0.19438103,1675.2091,2315.712,1693.3344,166.31645,142.97191,123.04614,68.0,36.0,15.0,1675.2091,1950.4678,1548.7496,1950.4678,2315.712,1849.5339,1548.7496,1849.5339,1693.3344,-1.2682211,-1.4313916,-1.1190851,2977397.0,2559483.0,2202772.0,221.0,206.0,194.0,-0.4032839,-0.28551483,-0.18498369,197.64868,22.392763,1307.0,1043.0,114.0,218.58073,2552.775,0.0
7,0,8,0,nymph,0.02,0.36083335,0.46416664,0.01,0.095,0.05,1106.6776,1137.252,2393.1667,1113.412,1127.8231,-1.4848558,111.73318,0.7133529,6643033.5,50576.0,0.7160906,1111.5,1130.5,36217.0,6.0,62.668427,46.675777,265.43393,146.52333,84.152016,29.0,9.0,0.0,58.98211,33.97388,27.69067,1003.0,1015.0,265.43393,179.81001,86.69808,179.81001,146.52333,67.30412,86.69808,67.30412,84.152016,36217.0,0.77101123,-0.30692548,-0.5579771,0.5605305,-0.08875961,0.8233634,0.30223703,0.9475856,-0.103606425,1221.0,1247.0,1113.412,1127.8231,0.5715319,1.8757025,1.299191,-0.6145503,-0.78887767,0.78887767,-0.6145503,2136155.0,1230432.0,1002873.0,139.0,114.0,74.0,0.9246435,1.2294145,0.60090834,2019.3141,2593.4897,1521.3262,153.73698,131.08963,114.946655,42.0,25.0,15.0,2019.3141,2261.9417,1559.9624,2261.9417,2593.4897,1818.4034,1559.9624,1818.4034,1521.3262,-1.1888986,-1.4373533,-1.1132103,3867715.0,3297953.0,2891828.0,212.0,196.0,185.0,-0.43398404,-0.2710145,-0.19039676,232.65855,32.972683,1112.0,1137.0,178.0,287.5046,5869.1377,0.0
8,0,9,0,larvae-nymph small,0.0,0.10333334,0.22700003,0.01,0.39966667,0.26,1296.0712,1277.0243,1223.3334,1286.8351,1262.5349,0.63321555,69.347336,1.2565044,2449592.8,21420.0,0.6573296,1290.0,1267.5,14080.0,6.0,42.109436,27.05103,180.1247,170.55814,127.45969,53.0,29.0,0.0,84.77102,53.72855,34.743324,1214.0,1198.0,180.1247,160.52776,97.608345,160.52776,170.55814,105.95845,97.608345,105.95845,127.45969,14080.0,0.6326071,-0.443375,-0.6350015,0.6269596,-0.18817452,0.7559841,0.45467553,0.8763612,-0.15893768,1367.0,1338.0,1286.8351,1262.5349,1.5788039,1.5096239,2.0909898,0.7733395,-0.63399214,-0.63399214,-0.7733395,1193576.0,756498.0,489186.0,151.0,115.0,96.0,1.0789266,1.0942745,0.79727876,1423.6613,2023.3237,1738.2738,166.44057,143.36555,122.971115,72.0,36.0,25.0,1423.6613,1680.9067,1466.8617,1680.9067,2023.3237,1767.7448,1466.8617,1767.7448,1738.2738,-1.2543352,-1.4189825,-1.1862975,2817506.0,2426892.0,2081655.0,218.0,205.0,192.0,-0.34515435,-0.23988287,-0.2704839,155.08063,19.721233,1286.0,1262.0,126.0,201.7645,2484.8755,0.0
9,0,10,0,larvae-nymph small,0.0,0.05,0.08,0.02,0.46,0.39,457.56226,1436.2986,806.4,467.86377,1418.7794,2.9226038,55.772926,1.6318713,812857.3,12348.0,0.67346936,464.5,1424.5,8316.0,5.0,32.218204,21.279684,196.9115,157.60716,87.00036,68.0,36.0,9.0,97.155846,63.05243,45.151154,416.0,1362.0,196.9115,162.92798,85.935196,162.92798,157.60716,80.410545,85.935196,80.410545,87.00036,8316.0,0.69468397,-0.34061483,-0.63355803,0.6200364,-0.16295183,0.76746434,0.36464918,0.9259742,-0.0979936,514.0,1488.0,467.86377,1418.7794,0.9704778,1.3981291,0.870436,0.4640738,-0.88579655,0.88579655,0.4640738,807948.0,524344.0,375477.0,156.0,120.0,88.0,0.89643127,1.0368451,0.6111311,1311.6528,1932.2584,1493.0732,164.5711,139.75728,122.47504,62.0,29.0,20.0,1311.6528,1578.403,1287.334,1578.403,1932.2584,1578.7551,1287.334,1578.7551,1493.0732,-0.9806143,-1.264065,-1.0687892,2211671.0,1878198.0,1645942.0,214.0,199.0,189.0,-0.40352863,-0.24974214,-0.23825178,127.01181,20.261013,474.0,1423.0,84.0,149.09546,1701.925,0.0
