object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,molt,0.0,0.02,0.04,0.01,0.39,0.54,1514.3195,90.10037,804.5,1524.4124,58.333374,2.4903505,56.355713,1.6201823,656171.0,11152.0,0.7114419,1521.5,67.5,7934.0,4.0,35.288216,18.713182,92.988914,108.29451,117.10611,107.0,72.0,15.0,139.32127,94.721954,49.36085,1481.0,0.0,92.988914,92.44879,60.19715,92.44879,108.29451,74.25952,60.19715,74.25952,117.10611,7934.0,0.5507521,-0.45893654,-0.69717246,0.6181206,-0.33703318,0.71016586,0.56089133,0.82206196,-0.0980564,1563.0,136.0,1524.4124,58.333374,-0.15655744,-0.24604017,0.6399188,0.17966563,-0.98372775,0.98372775,0.17966563,1105375.0,751524.0,391629.0,174.0,132.0,109.0,0.5173546,0.6087881,0.4272361,649.9634,1142.5153,1629.6302,191.9155,167.77493,142.04585,109.0,70.0,42.0,649.9634,846.02155,918.30853,846.02155,1142.5153,1283.7255,918.30853,1283.7255,1629.6302,-0.636948,-1.0469886,-1.1020912,2030274.0,1774891.0,1502703.0,231.0,220.0,228.0,-0.53112286,-0.36991808,-0.301207,124.004036,24.587902,1524.0,61.0,62.0,163.3259,1524.45,0.0
1,0,2,0,molt,0.0,0.005,0.01,0.0,0.385,0.6,1068.9847,419.01562,752.0,1062.4213,431.3436,-0.2970212,38.327496,1.0017923,736590.0,7656.0,0.60710555,1065.0,426.5,4648.0,4.0,26.438166,14.52368,138.79338,168.49368,167.5056,102.0,66.0,9.0,151.0398,105.549484,56.82401,1022.0,383.0,138.79338,139.57602,90.43708,139.57602,168.49368,123.48181,90.43708,123.48181,167.5056,4648.0,0.5391393,-0.530885,-0.6538272,0.632828,-0.25691268,0.7304277,0.5557496,0.8075624,-0.19744715,1109.0,471.0,1062.4213,431.3436,2.4182782,1.1956084,1.0220919,0.7524143,0.6586902,0.6586902,-0.7524143,702033.0,490594.0,264118.0,203.0,165.0,116.0,0.33177152,0.88751745,0.70696187,726.6157,1278.1884,1669.8442,203.35025,180.27806,150.7876,104.0,68.0,36.0,726.6157,948.3515,1012.16223,948.3515,1278.1884,1394.916,1012.16223,1394.916,1669.8442,-0.2645949,-0.71503407,-0.8222805,2239293.0,1985222.0,1660473.0,239.0,229.0,214.0,-0.84510994,-0.6788793,-0.60944164,98.47334,14.572803,1059.0,430.0,72.0,123.953316,1049.2418,0.0
2,0,3,0,molt,0.0,0.0,0.0,0.0,0.2,0.8,658.19916,585.2885,475.75,649.02014,577.7172,3.213574,30.119726,1.7909763,201727.58,4389.0,0.566416,653.0,581.0,2486.0,4.0,20.301626,10.66353,136.74353,154.06476,168.982,118.0,77.0,20.0,161.43323,118.0897,74.650444,615.0,553.0,136.74353,135.57297,94.86302,135.57297,154.06476,118.3773,94.86302,118.3773,168.982,2486.0,0.5483511,-0.51123303,-0.6617793,0.61065614,-0.29586464,0.73454964,0.57132316,0.8069107,-0.14994988,692.0,610.0,649.02014,577.7172,0.8723871,0.095494874,-0.1446597,0.93253887,-0.36106956,-0.36106956,-0.93253887,401323.0,293571.0,185581.0,185.0,151.0,118.0,-1.0130131,-0.46997896,0.285776,488.9601,957.0685,1195.8733,206.65178,184.27802,160.08125,130.0,90.0,60.0,488.9601,673.5668,705.97626,673.5668,957.0685,1012.35126,705.97626,1012.35126,1195.8733,-0.22483473,-0.68710554,-0.65458417,1925168.0,1716734.0,1491317.0,238.0,225.0,212.0,-0.8433246,-0.69321245,-0.6516767,74.24958,10.178301,652.0,576.0,64.0,94.01219,651.41125,0.0
3,0,4,0,molt,0.0,0.0,0.0,0.0,0.15,0.85,1260.4033,602.835,360.0,1257.3395,605.51526,-2.6386461,31.27073,0.48471978,144059.5,4752.0,0.6212121,1258.5,604.5,2952.0,5.0,20.018847,12.0541725,100.48061,126.16807,142.73643,126.0,79.0,25.0,159.02744,114.586044,63.919716,1223.0,572.0,100.48061,104.13432,75.72036,104.13432,126.16807,100.64156,75.72036,100.64156,142.73643,2952.0,0.5165845,-0.5285719,-0.67361134,0.613755,-0.3199651,0.7217528,0.59703034,0.78627867,-0.15912461,1295.0,638.0,1257.3395,605.51526,-0.35344946,-0.34540242,-0.06643604,0.8065888,0.5911129,0.5911129,-0.8065888,469449.0,338258.0,188691.0,187.0,147.0,102.0,0.2783588,0.6114108,0.08606689,521.79706,1028.6005,1655.4518,208.25104,185.04903,154.29147,141.0,102.0,53.0,521.79706,723.52814,892.97437,723.52814,1028.6005,1278.9742,892.97437,1278.9742,1655.4518,-0.853186,-1.067583,-1.0917741,1915493.0,1702081.0,1419173.0,240.0,229.0,218.0,-0.5564131,-0.46201217,-0.40435633,76.6942,12.217155,1259.0,607.0,58.0,87.98276,708.59503,0.0
4,0,5,0,molt,0.0,0.0,0.0,0.0,0.14,0.86,1284.4572,705.9431,443.2,1287.1733,699.8816,-1.2725601,32.515396,0.9537942,326668.7,5130.0,0.5680312,1286.0,702.5,2914.0,5.0,24.883888,9.56278,85.0634,92.95164,133.6431,131.0,93.0,25.0,162.628,117.81297,64.48696,1239.0,676.0,85.0634,81.541954,68.03187,81.541954,92.95164,81.88929,68.03187,81.88929,133.6431,2914.0,0.5143211,-0.5456782,-0.6615959,0.56652206,-0.3629817,0.73979527,0.64383733,0.755301,-0.12244961,1334.0,730.0,1287.1733,699.8816,0.65211046,0.7137097,1.1340567,0.91633105,0.40042156,0.40042156,-0.91633105,473898.0,343307.0,187915.0,195.0,154.0,117.0,0.3065835,0.6507373,0.6267887,435.01883,938.84247,1587.1398,216.56378,195.63914,166.92888,147.0,111.0,64.0,435.01883,630.7689,797.2103,630.7689,938.84247,1194.4858,797.2103,1194.4858,1587.1398,-0.5596507,-0.6697327,-0.6333854,2140733.0,1933893.0,1650092.0,245.0,234.0,226.0,-0.82949185,-0.8102702,-0.7803949,99.53894,12.643306,1288.0,699.0,55.0,111.98276,695.38184,0.0
5,0,6,0,apterous adult,0.01,0.35733333,0.21266666,0.0,0.19,0.23,694.10065,940.14734,2438.5557,705.8016,916.22906,-1.0944976,126.07655,0.99120665,13081886.0,67551.0,0.67510474,702.0,924.0,45604.0,9.0,68.91915,54.387318,426.06564,330.54147,142.04689,39.0,20.0,0.0,87.04182,62.886063,43.496426,569.0,798.0,426.06564,358.2219,186.29608,358.2219,330.54147,173.36186,186.29608,173.36186,142.04689,45604.0,0.70393336,-0.39502552,-0.59028184,0.6206454,-0.06200254,0.78163606,0.34536517,0.91657543,-0.20152512,836.0,1051.0,705.8016,916.22906,2.5279493,4.2322702,7.7523785,0.7824774,-0.622679,-0.622679,-0.7824774,3969455.0,2867856.0,1983611.0,195.0,173.0,133.0,1.1058371,1.3780446,1.8876795,1811.1201,2334.6973,2267.8162,173.07988,153.4388,132.76904,62.0,39.0,33.0,1811.1201,2034.2203,1894.4402,2034.2203,2334.6973,2203.91,1894.4402,2203.91,2267.8162,-0.9840962,-1.3090463,-1.3755367,4954931.0,4392646.0,3800912.0,232.0,221.0,215.0,-0.37747568,-0.19377047,-0.025568906,228.56946,145.68555,708.0,915.0,4.0,341.30362,657.725,4.0
6,0,7,0,molt,0.0,0.0,0.055,0.01,0.325,0.61,215.49463,973.32623,953.25,197.26898,979.4144,2.5825071,58.685547,1.6036628,498786.25,12126.0,0.6855517,203.0,977.5,8313.0,4.0,34.740005,19.38047,120.0561,144.05617,120.57426,94.0,51.0,15.0,130.5489,87.83399,52.48274,133.0,935.0,120.0561,122.036865,84.04731,122.036865,144.05617,98.451004,84.04731,98.451004,120.57426,8313.0,0.5692412,-0.42153153,-0.70588636,0.63715804,-0.31643263,0.7027802,0.5196095,0.8498127,-0.088455714,274.0,1021.0,197.26898,979.4144,-0.1494156,-0.32584453,0.343702,0.9687414,0.24807267,0.24807267,-0.9687414,1085253.0,730164.0,436289.0,161.0,129.0,97.0,0.16429563,0.4599075,0.4561124,783.7576,1426.7107,1766.7792,192.68669,167.93651,144.17084,109.0,75.0,36.0,783.7576,1045.9398,1121.3446,1045.9398,1426.7107,1533.0232,1121.3446,1533.0232,1766.7792,-1.090498,-1.3097297,-1.1446844,2637110.0,2298379.0,1973122.0,232.0,219.0,208.0,-0.46488938,-0.37805417,-0.38214374,135.97794,17.791494,201.0,982.0,92.0,157.29646,1636.8175,0.0
7,0,8,0,molt,0.0,0.0,0.01,0.0,0.25,0.74,848.37726,1048.9972,542.75,850.55475,1050.942,-5.5242805,29.446856,0.082334556,276542.9,4482.0,0.515618,849.5,1050.0,2311.0,4.0,21.331093,8.898537,48.52745,77.35073,146.98584,125.0,79.0,29.0,161.40977,119.69537,64.65772,823.0,1009.0,48.52745,55.718513,55.358345,55.718513,77.35073,75.07661,55.358345,75.07661,146.98584,2311.0,0.3953845,-0.49520916,-0.7735884,0.5228042,-0.57114685,0.63282466,0.75521314,0.6546443,-0.033074807,877.0,1092.0,850.55475,1050.942,3.1416667,2.6126137,0.7508529,-0.5142174,-0.8576599,0.8576599,-0.5142174,373018.0,276616.0,149424.0,195.0,157.0,124.0,0.73275286,0.8352932,0.56442773,982.18396,1521.2521,1758.0651,200.61868,179.89557,153.49004,82.0,60.0,58.0,982.18396,1200.3911,1158.6654,1200.3911,1521.2521,1531.3368,1158.6654,1531.3368,1758.0651,1.3840507,-0.20807649,-1.2654625,1823022.0,1634711.0,1394764.0,239.0,229.0,215.0,-1.2580894,-0.81926805,-0.3317391,88.63972,10.873153,851.0,1051.0,56.0,100.39697,608.89655,0.0
8,0,9,0,molt,0.0,0.005,0.0,0.0,0.065,0.93,1135.5504,1101.0029,86.75,1131.3252,1094.7659,0.6909683,25.173042,1.1705695,9065.357,2496.0,0.7219551,1132.5,1096.5,1802.0,8.0,21.123537,7.790378,107.93372,152.01358,97.39915,116.0,70.0,55.0,176.27414,139.2919,95.42841,1117.0,1058.0,107.93372,122.332855,77.88255,122.332855,152.01358,93.931,77.88255,93.931,97.39915,1802.0,0.56235856,-0.32041574,-0.76229036,0.6738888,-0.35664612,0.6470529,0.47919384,0.8775747,-0.015361576,1149.0,1136.0,1131.3252,1094.7659,9.475817,9.10081,0.45807627,0.043985877,-0.99903214,0.99903214,0.043985877,317646.0,251004.0,171962.0,205.0,176.0,125.0,-2.2293918,-2.2498622,-0.3334477,373.9283,729.8291,1078.5916,216.37923,196.95993,170.8285,135.0,88.0,68.0,373.9283,511.914,579.9457,511.914,729.8291,846.69934,579.9457,846.69934,1078.5916,-0.49519077,-0.66711605,-0.69344074,1868651.0,1700946.0,1475275.0,243.0,233.0,217.0,-0.7595366,-0.71715814,-0.645443,65.14599,17.244267,1127.0,1097.0,15.0,90.18377,258.664,0.0
9,0,10,0,molt,0.0,0.0,0.02,0.0,0.23,0.75,1958.5449,1208.6357,699.6,1951.9161,1203.707,-3.2672198,35.92689,0.60430616,758571.3,7519.0,0.53477854,1955.0,1206.0,4021.0,5.0,28.718552,11.492859,86.53899,85.93919,103.7944,139.0,100.0,42.0,174.68391,134.4561,75.41084,1904.0,1170.0,86.53899,77.57914,46.269382,77.57914,85.93919,60.757153,46.269382,60.757153,103.7944,4021.0,0.5652963,-0.52583337,-0.63556224,0.6030489,-0.26226133,0.7533598,0.56282514,0.80914664,-0.16884786,2007.0,1243.0,1951.9161,1203.707,1.9223492,1.3657272,0.6054476,0.8734021,0.4869997,0.4869997,-0.8734021,702404.0,540648.0,303227.0,207.0,175.0,123.0,-0.9595169,-0.27351162,0.5347157,332.73807,694.0161,1481.4779,216.41595,196.57507,167.6785,142.0,115.0,60.0,332.73807,472.75174,663.13574,472.75174,694.0161,984.3275,663.13574,984.3275,1481.4779,-0.21332654,-0.54112905,-0.6532962,2385553.0,2166847.0,1848320.0,242.0,231.0,221.0,-0.9221651,-0.819954,-0.7536878,102.528046,13.600658,1956.0,1207.0,68.0,125.781746,924.8448,0.0
