object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,molt,0.0,0.01,0.0,0.0,0.16,0.83,1524.9753,233.84477,540.44446,1522.9221,244.69757,4.6103344,38.49276,2.1183522,821114.75,9265.0,0.4750135,1524.0,239.0,4401.0,9.0,28.30594,17.339151,404.46393,429.06238,582.8684,47.0,34.0,25.0,78.38468,64.60736,65.001816,1470.0,197.0,404.46393,412.29214,463.19086,412.29214,429.06238,480.90482,463.19086,480.90482,582.8684,4401.0,0.53444904,-0.5054538,-0.67740726,0.55234003,-0.3977873,0.7325884,0.63975364,0.7656903,-0.06658534,1579.0,282.0,1522.9221,244.69757,0.080885656,0.45189202,-0.29530928,0.8810635,0.472998,0.472998,-0.8810635,344971.0,284337.0,286073.0,141.0,133.0,131.0,0.9895062,1.1105424,0.82746315,404.61194,550.31,778.6433,122.9024,113.20169,124.83781,59.0,45.0,45.0,404.61194,467.81442,518.7399,467.81442,550.31,612.7841,518.7399,612.7841,778.6433,-0.91158694,-1.0690169,-0.8767904,1611742.0,1484527.0,1637123.0,150.0,148.0,165.0,-0.64232206,-0.59726644,-0.57367843,63.007935,91.669044,1499.0,251.0,2.0,183.33809,321.63455,5.0
1,0,2,0,larvae-nymph small,0.0,0.0,0.0,0.0,0.97,0.03,1367.3029,283.63718,579.5,1373.4296,288.54602,-2.730257,41.357662,0.37469876,216539.0,7360.0,0.68505436,1371.5,287.0,5042.0,4.0,30.11849,13.656006,83.681694,99.673515,188.27194,49.0,24.0,6.0,72.88655,46.771122,41.205475,1340.0,230.0,83.681694,85.76777,97.50665,85.76777,99.673515,117.76044,97.50665,117.76044,188.27194,5042.0,0.4561894,-0.61840165,-0.63989896,0.5240767,-0.39445168,0.75481886,0.7191904,0.6796965,-0.14414524,1404.0,345.0,1373.4296,288.54602,-0.07639677,-0.498765,-0.25091016,-0.1867087,-0.9824153,0.9824153,-0.1867087,367494.0,235820.0,207758.0,107.0,77.0,87.0,0.61280215,0.5101153,0.6364806,425.63492,707.8644,889.85706,123.647064,111.221634,121.1119,48.0,22.0,30.0,425.63492,542.17737,575.26166,542.17737,707.8644,756.0115,575.26166,756.0115,889.85706,0.52988166,-0.025897462,-0.59524006,1427629.0,1284165.0,1398358.0,150.0,141.0,161.0,-1.1596594,-0.99693274,-0.70721215,107.563934,15.601184,1372.0,290.0,73.0,132.56854,1138.8865,0.0
2,0,3,0,larvae-nymph small,0.0,0.01,0.0,0.0,0.57,0.42,1261.4863,290.65732,819.5,1259.5181,288.34784,-2.0991082,42.84656,0.32106984,695353.5,9856.0,0.5011161,1260.5,289.5,4939.0,6.0,27.448637,17.568253,563.0289,718.69727,874.10284,33.0,13.0,13.0,70.57157,53.551125,56.194572,1205.0,246.0,563.0289,630.1673,682.335,630.1673,718.69727,778.3532,682.335,778.3532,874.10284,4939.0,0.51004344,-0.5711889,-0.6431166,0.5788806,-0.32507163,0.74781394,0.636202,0.7537053,-0.16484952,1317.0,334.0,1259.5181,288.34784,-0.13334258,-0.13832742,0.24418333,0.967718,-0.25203544,-0.25203544,-0.967718,348553.0,264489.0,277545.0,133.0,122.0,138.0,0.96631914,0.93973833,1.0987215,462.64438,692.60767,903.2321,118.34921,106.249825,115.78176,50.0,23.0,21.0,462.64438,560.3739,614.47577,560.3739,692.60767,759.9282,614.47577,759.9282,903.2321,-0.17747524,-0.26755023,-0.74742275,1502680.0,1349054.0,1470081.0,148.0,140.0,163.0,-0.8365808,-0.7734185,-0.48229802,94.04786,53.60143,1249.0,289.0,5.0,154.19595,336.43356,2.0
3,0,4,0,molt,0.0,0.0,0.0,0.0,0.0,1.0,1580.5579,340.47427,237.0,1575.8055,327.83203,3.5047486,21.486685,1.806096,96021.5,2090.0,0.43301436,1578.5,335.0,905.0,5.0,11.567341,8.737559,222.26128,274.84546,239.8119,81.0,63.0,86.0,114.13923,103.465195,115.80553,1560.0,308.0,222.26128,243.17722,203.15305,243.17722,274.84546,231.53357,203.15305,231.53357,239.8119,905.0,0.55288243,-0.44245777,-0.7060822,0.62006855,-0.34759194,0.7033455,0.5566292,0.82668674,-0.08217668,1598.0,363.0,1575.8055,327.83203,-1.0287772,-0.8867004,-1.198549,-0.51775444,-0.85552925,0.85552925,-0.51775444,103296.0,93636.0,104804.0,142.0,136.0,147.0,-0.47998127,-0.5039427,-0.087442435,226.17293,305.5522,347.45465,127.25511,118.11907,132.04317,73.0,56.0,82.0,226.17293,258.91028,249.86658,258.91028,305.5522,295.92444,249.86658,295.92444,347.45465,-0.28690308,-0.46138912,-1.0880258,952250.0,883885.0,988079.0,151.0,143.0,164.0,-0.7818944,-0.7427737,-0.3860108,55.569775,31.63723,1571.0,333.0,3.0,68.769554,97.74011,1.0
4,0,5,0,molt,0.0,0.0,0.0,0.0,0.01,0.99,1278.1676,332.16763,171.8,1270.5477,334.60367,0.08713178,21.471598,1.0258682,29352.7,1896.0,0.5469409,1274.0,333.5,1037.0,5.0,20.660162,4.670173,59.81869,85.339,132.17064,96.0,81.0,84.0,121.00386,109.26615,118.8756,1235.0,322.0,59.81869,69.06262,81.0188,69.06262,85.339,96.24333,81.0188,96.24333,132.17064,1037.0,0.46321115,-0.39929298,-0.79120195,0.5536769,-0.56670856,0.6101502,0.6920096,0.7206986,0.041426443,1314.0,346.0,1270.5477,334.60367,0.08959377,-0.07616591,-0.28788075,0.9999064,0.013679548,0.013679548,-0.9999064,125481.0,113309.0,123274.0,138.0,127.0,144.0,-0.66077715,-0.64510494,-0.5007825,659.90674,887.30634,1237.632,117.10891,106.01488,117.487404,47.0,21.0,27.0,659.90674,760.5168,885.8151,760.5168,887.30634,1032.6278,885.8151,1032.6278,1237.632,-0.38086477,-0.57947797,-0.9607966,952681.0,862431.0,955760.0,149.0,141.0,163.0,-0.8615945,-0.76785326,-0.5849891,78.0,36.499157,1275.0,333.0,3.0,88.769554,131.63962,1.0
5,0,6,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.97,0.02,1136.0261,363.44986,566.4,1126.288,374.71603,2.138022,45.547253,1.441417,396777.3,8586.0,0.6701607,1129.5,371.0,5754.0,5.0,27.208878,17.63368,89.529205,122.622574,193.30476,43.0,21.0,15.0,64.01286,43.493916,40.45655,1077.0,331.0,89.529205,99.61061,116.29462,99.61061,122.622574,137.99574,116.29462,137.99574,193.30476,5754.0,0.46510097,-0.4676324,-0.7516655,0.5501912,-0.5124928,0.6592729,0.69352055,0.7201882,-0.018926341,1183.0,412.0,1126.288,374.71603,0.20301162,-0.10601839,-0.42818195,0.88994527,0.45606732,0.45606732,-0.88994527,368330.0,250264.0,232787.0,104.0,86.0,85.0,0.5354874,0.6002892,0.67563796,442.6837,626.40094,697.4412,117.40192,106.15384,116.02345,52.0,31.0,42.0,442.6837,520.2751,505.4223,520.2751,626.40094,613.7439,505.4223,613.7439,697.4412,-0.9016917,-1.0475278,-0.83996683,1386634.0,1253783.0,1370353.0,147.0,139.0,160.0,-0.5949777,-0.5133297,-0.45891717,106.02358,15.915258,1127.0,377.0,72.0,125.325905,1145.8987,0.0
6,0,7,0,molt,0.0,0.0,0.0,0.0,0.0,1.0,1590.8276,363.1092,174.0,1586.5339,369.36407,2.1093607,20.801067,1.1757663,18204.0,1900.0,0.54210526,1588.5,366.5,1030.0,5.0,12.049287,7.9687443,51.686684,61.740032,48.14674,94.0,83.0,92.0,112.78932,99.64369,107.43495,1570.0,342.0,51.686684,53.985126,39.88581,53.985126,61.740032,43.709347,39.88581,43.709347,48.14674,1030.0,0.577281,-0.3444933,-0.7403182,0.6333051,-0.38341326,0.6722492,0.51543313,0.85692394,0.003167836,1608.0,392.0,1586.5339,369.36407,0.030379253,0.035411745,0.20687205,0.15588145,-0.98777574,0.98777574,0.15588145,116173.0,102633.0,110658.0,135.0,125.0,133.0,0.42580906,0.51023453,0.479189,204.58034,266.06088,277.4326,130.27191,121.827065,136.91252,73.0,56.0,85.0,204.58034,229.45567,214.41835,229.45567,266.06088,249.55482,214.41835,249.55482,277.4326,1.2033399,1.1011357,0.010594482,906953.0,848160.0,953185.0,150.0,143.0,165.0,-1.3606378,-1.3302234,-0.8937116,30.083218,29.227922,1583.0,369.0,2.0,59.870056,66.1127,1.0
7,0,8,0,larvae-nymph small,0.0,0.16,0.34,0.03,0.46,0.01,2142.7227,473.6067,1188.4,2156.1196,479.9509,0.2867754,70.57979,0.98516566,1496554.8,19323.0,0.6924908,2152.0,478.0,13381.0,5.0,43.134106,25.082275,104.75045,97.53059,98.50566,20.0,10.0,11.0,47.296616,28.80151,34.169346,2096.0,393.0,104.75045,92.51475,83.67319,92.51475,97.53059,85.04423,83.67319,85.04423,98.50566,13381.0,0.59183866,-0.57487416,-0.5650192,0.5788384,-0.18471126,0.79424673,0.5609573,0.79712075,-0.22343995,2209.0,564.0,2156.1196,479.9509,1.1339973,2.410908,2.9778926,-0.30672574,-0.95179796,0.95179796,-0.30672574,632876.0,385393.0,457220.0,97.0,80.0,85.0,1.1249758,1.5021429,1.5385555,941.7696,1294.4031,1492.1931,122.57613,111.084305,125.6036,46.0,28.0,25.0,941.7696,1095.7089,1104.1332,1095.7089,1294.4031,1319.8632,1104.1332,1319.8632,1492.1931,-0.94462043,-1.083628,-0.77938044,1994804.0,1807786.0,2044073.0,162.0,153.0,176.0,-0.7475221,-0.68409145,-0.7122124,171.73526,22.357851,2155.0,476.0,100.0,191.02438,2235.7852,0.0
8,0,9,0,molt,0.0,0.0,0.0,0.0,0.0,1.0,865.68054,421.03705,72.0,866.18256,417.05026,-1.8861688,16.709871,-0.0876292,2710.0,1188.0,0.6363636,866.0,418.5,756.0,6.0,8.350072,8.110985,200.15784,223.56706,137.87502,77.0,64.0,77.0,98.18783,85.019844,98.1336,850.0,401.0,200.15784,207.2595,136.01723,207.2595,223.56706,152.57274,136.01723,152.57274,137.87502,756.0,0.604205,-0.4519344,-0.656271,0.64699537,-0.20249781,0.7351134,0.46511647,0.86876345,-0.17004927,883.0,437.0,866.18256,417.05026,-0.036374193,0.14855877,-0.39812738,-0.52594286,-0.8505199,0.8505199,-0.52594286,74230.0,64275.0,74189.0,135.0,127.0,129.0,1.0318462,1.1417675,0.75758326,236.1432,324.9584,324.7889,126.37885,118.00941,131.2697,68.0,52.0,54.0,236.1432,272.84106,252.35225,272.84106,324.9584,298.73975,252.35225,298.73975,324.7889,1.9622089,1.7167143,1.1413777,779252.0,727646.0,809409.0,144.0,138.0,158.0,-1.6643226,-1.6007159,-1.1855183,34.176014,17.066162,859.0,421.0,6.0,47.455845,137.19595,2.0
9,0,10,0,nymph,0.0,0.09,0.9,0.0,0.01,0.0,1360.6467,579.11884,6916.4,1370.3129,549.11096,-2.603611,116.86977,0.7168479,75703250.0,77506.0,0.5538152,1366.0,562.5,42924.0,5.0,83.54007,42.039543,171.49277,132.71585,136.55693,7.0,0.0,2.0,36.6115,22.94891,27.979895,1231.0,420.0,171.49277,143.17508,122.39702,143.17508,132.71585,115.03175,122.39702,115.03175,136.55693,42924.0,0.6313472,-0.531663,-0.5645664,0.56255174,-0.18711977,0.80530846,0.5337943,0.82602704,-0.18095042,1502.0,706.0,1370.3129,549.11096,0.1643094,1.4738173,5.2060566,-0.6968593,-0.71720785,0.71720785,-0.6968593,1571512.0,985059.0,1201009.0,93.0,77.0,102.0,0.74954855,1.1648802,2.039925,780.5295,953.4369,876.1323,115.550125,105.81916,116.84265,22.0,23.0,30.0,780.5295,856.1723,770.1606,856.1723,953.4369,861.2908,770.1606,861.2908,876.1323,-0.7305874,-0.9131285,-0.762508,3355229.0,3072671.0,3392760.0,156.0,153.0,164.0,-0.79119045,-0.7139179,-0.56840485,350.45398,29.188702,1357.0,562.0,202.0,378.6417,5896.1177,0.0
