object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of winged adult,Probability of apterous adult,Probability of nymph,Probability of larvae,Probability of larvae-nymph small,Probability of molt,Defect Center_0,Defect Center_1,Mean Defect Area,Object Center_0,Object Center_1,Kurtosis of Defect Area,Mean Defect Displacement,Skewness of Defect Area,Variance of Defect Area,Convex Hull Area,Convexity,Convex Hull Center_0,Convex Hull Center_1,Object Area,Number of Defects,Radii of the object_0,Radii of the object_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Size in pixels,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Total Intensity_0,Total Intensity_1,Total Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Euclidean Diameter,Average Branch Length,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Diameter,Length of the Skeleton,Number of Holes
0,0,1,0,larvae-nymph small,0.0,0.0,0.05,0.0,0.95,0.0,1870.1598,169.64835,827.5,1876.8745,163.23041,0.07842681,50.627766,1.1106535,347997.66,9360.0,0.64636755,1874.5,165.5,6050.0,4.0,32.113167,15.388095,109.97637,118.09157,144.4593,22.0,16.0,16.0,45.044464,35.998016,42.005455,1839.0,101.0,109.97637,108.796455,103.29959,108.796455,118.09157,112.02183,103.29959,112.02183,144.4593,6050.0,0.5439501,-0.50965136,-0.6666137,0.5733676,-0.35429314,0.7387327,0.6126728,0.7840484,-0.0994998,1911.0,231.0,1876.8745,163.23041,2.4921384,2.6835907,1.7814165,0.247303,-0.9689382,0.9689382,0.247303,272519.0,217788.0,254133.0,103.0,96.0,94.0,1.3344675,1.4985894,1.4147884,1001.5433,1141.8182,1309.28,120.16229,111.801605,126.000084,37.0,25.0,28.0,1001.5433,1061.7758,1063.5331,1061.7758,1141.8182,1157.6117,1063.5331,1157.6117,1309.28,-0.67120475,-0.8587071,-0.73224735,1484485.0,1381197.0,1556605.0,163.0,155.0,178.0,-0.7319327,-0.66337126,-0.59738034,129.55309,17.526384,1882.0,165.0,74.0,146.56854,1296.9524,0.0
1,0,2,0,larvae-nymph small,0.0,0.0,0.03,0.0,0.9,0.07,1594.679,357.0561,353.5,1593.765,361.6918,-1.42902,48.655636,0.8586549,119860.3,8250.0,0.7429091,1594.0,360.5,6129.0,6.0,32.309048,15.558255,115.10554,134.0336,198.36296,38.0,24.0,19.0,57.605644,44.37461,40.845978,1532.0,328.0,115.10554,119.49787,127.86502,119.49787,134.0336,143.9634,127.86502,143.9634,198.36296,6129.0,0.5030482,-0.53646797,-0.6776021,0.5534705,-0.40219784,0.72931975,0.66378677,0.74191576,-0.09459432,1657.0,394.0,1593.765,361.6918,2.9391196,2.9201238,-0.0598829,0.990119,-0.14022987,-0.14022987,-0.990119,353065.0,271972.0,250345.0,120.0,112.0,88.0,1.5222108,1.5487862,1.0051812,538.23004,682.69604,889.99854,121.89393,113.36214,123.77089,53.0,41.0,31.0,538.23004,601.05695,655.0885,601.05695,682.69604,746.7649,655.0885,746.7649,889.99854,-0.32432336,-0.56358826,-0.18022943,1537570.0,1429950.0,1561246.0,155.0,150.0,167.0,-0.95849496,-0.8839592,-0.9041966,120.66897,64.79468,1590.0,363.0,4.0,149.46803,261.1787,1.0
2,0,3,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.98,0.01,1226.9615,373.87085,786.6,1223.6803,364.0503,-0.09245241,47.373703,1.0747063,776624.8,9779.0,0.59781164,1225.0,368.0,5846.0,5.0,32.48488,14.620729,68.17396,72.47382,158.08018,33.0,25.0,15.0,53.546356,43.17499,41.64249,1162.0,330.0,68.17396,65.94048,88.44507,65.94048,72.47382,95.7798,88.44507,95.7798,158.08018,5846.0,0.46489736,-0.6238716,-0.62821543,0.49214673,-0.40773532,0.76911867,0.73597693,0.6667354,-0.117481306,1289.0,407.0,1223.6803,364.0503,0.7445533,0.19446704,2.0085852,0.9333675,-0.3589222,-0.3589222,-0.9333675,313032.0,252401.0,243442.0,90.0,79.0,103.0,0.911964,0.8296115,1.3828048,523.77686,617.7855,673.84,122.68225,115.40822,127.53336,42.0,29.0,48.0,523.77686,563.7523,566.17365,563.7523,617.7855,619.257,566.17365,619.257,673.84,0.36997837,0.04121984,-0.044372417,1493043.0,1404518.0,1552081.0,152.0,146.0,165.0,-1.2396148,-1.1416863,-0.9856368,127.738014,19.438513,1225.0,361.0,75.0,143.81119,1457.8885,0.0
3,0,4,0,larvae-nymph small,0.0,0.0,0.0,0.0,1.0,0.0,1897.5465,394.7104,819.0,1899.9762,401.04526,-2.7008326,43.355038,0.70399797,1047545.5,10192.0,0.59821427,1899.0,398.5,6097.0,5.0,32.598347,15.132505,94.98784,82.46532,123.03985,32.0,13.0,12.0,53.026077,35.02542,34.163033,1854.0,343.0,94.98784,83.98228,73.97574,83.98228,82.46532,77.423935,73.97574,77.423935,123.03985,6097.0,0.56318873,-0.5503707,-0.61636883,0.5442613,-0.3141965,0.7778562,0.6217702,0.7735455,-0.12259353,1945.0,455.0,1899.9762,401.04526,-0.09895783,0.5194383,4.427604,-0.5529317,-0.83322656,0.83322656,-0.5529317,323300.0,213550.0,208292.0,86.0,73.0,100.0,0.601782,0.9453453,1.8736812,794.3825,1057.6178,1303.052,121.29429,111.60944,123.87746,44.0,26.0,21.0,794.3825,909.3347,961.40564,909.3347,1057.6178,1130.6516,961.40564,1130.6516,1303.052,-0.6094299,-0.7873474,-0.5040357,1481731.0,1363421.0,1513287.0,155.0,152.0,171.0,-0.8216081,-0.75344676,-0.7694627,122.53979,18.19702,1902.0,400.0,82.0,137.92389,1492.1555,0.0
4,0,5,0,larvae-nymph small,0.0,0.0,0.0975,0.0,0.8975,0.005,2035.837,416.30508,684.25,2014.62,419.44385,-4.4025464,49.092472,-0.22898977,234794.25,9102.0,0.69929683,2021.0,418.5,6365.0,4.0,30.836786,17.150732,115.02703,85.18607,82.46542,22.0,11.0,14.0,43.468815,31.277925,35.026867,1960.0,382.0,115.02703,94.606544,82.14106,94.606544,85.18607,72.13566,82.14106,72.13566,82.46542,6365.0,0.6476897,-0.46140873,-0.60630023,0.5574407,-0.2554885,0.7899275,0.51938224,0.84960437,-0.091730736,2083.0,456.0,2014.62,419.44385,0.8346949,1.4961423,6.7847877,0.9999711,0.007604654,0.007604654,-0.9999711,276679.0,199084.0,222946.0,81.0,69.0,95.0,1.2000295,1.3932375,2.1617439,910.5597,1140.46,1430.2596,113.45805,102.44766,110.91594,37.0,26.0,20.0,910.5597,1010.90533,1088.8427,1010.90533,1140.46,1234.6716,1088.8427,1234.6716,1430.2596,-0.9465662,-1.1591412,-1.0322555,1409149.0,1272400.0,1377576.0,157.0,151.0,177.0,-0.50528044,-0.37065133,-0.3225884,110.724884,19.507881,2015.0,418.0,77.0,141.49748,1502.1068,0.0
5,0,6,0,larvae-nymph small,0.0,0.01,0.0,0.0,0.95,0.04,1483.0033,464.94562,603.2,1468.2118,481.37308,4.3141685,45.197956,2.0015514,588565.7,8436.0,0.6424846,1473.5,475.5,5420.0,5.0,29.67035,15.624859,93.95981,88.95704,121.9648,35.0,20.0,7.0,60.43229,40.60332,32.739853,1417.0,439.0,93.95981,84.8783,67.988106,84.8783,88.95704,79.47817,67.988106,79.47817,121.9648,5420.0,0.5508468,-0.5744416,-0.6054623,0.5677459,-0.2738244,0.7763277,0.6117453,0.77138644,-0.17530158,1531.0,513.0,1468.2118,481.37308,0.27725914,0.6737725,1.3410692,0.97060215,0.24068958,0.24068958,-0.97060215,327543.0,220070.0,177450.0,96.0,78.0,85.0,0.5665485,0.9282665,1.1810473,664.4896,910.60956,1136.9011,116.77171,106.46823,114.4428,39.0,24.0,18.0,664.4896,771.18646,821.83594,771.18646,910.60956,976.0228,821.83594,976.0228,1136.9011,-0.21714298,-0.56588686,-0.5880342,1382110.0,1260158.0,1354545.0,148.0,141.0,161.0,-0.9406798,-0.80965525,-0.6883519,81.859634,15.60419,1470.0,483.0,72.0,133.66905,1123.5017,0.0
6,0,7,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.95,0.04,1582.6564,508.87134,396.4,1578.2719,502.79916,-0.68244934,49.572514,-0.49148765,73297.8,7076.0,0.7198982,1579.5,504.5,5094.0,5.0,29.569778,13.830867,75.62288,61.780525,58.22349,26.0,12.0,4.0,47.182175,31.435022,25.786808,1551.0,444.0,75.62288,63.724636,37.85686,63.724636,61.780525,34.711903,37.85686,34.711903,58.22349,5094.0,0.6620329,-0.3499865,-0.6627382,0.5962112,-0.28988737,0.7486638,0.45414165,0.890772,-0.016750902,1609.0,566.0,1578.2719,502.79916,-0.034327026,0.9942323,3.1065233,0.101941794,-0.9947904,0.9947904,0.101941794,240346.0,160130.0,131358.0,82.0,68.0,68.0,0.6918088,0.9905583,1.3230028,735.6572,987.941,1354.596,111.28035,99.76633,103.62524,41.0,27.0,14.0,735.6572,844.8127,941.40137,844.8127,987.941,1107.3024,941.40137,1107.3024,1354.596,-0.9206179,-1.1168512,-0.9645852,1277721.0,1145517.0,1189825.0,147.0,141.0,160.0,-0.6023649,-0.47379076,-0.42711058,120.06665,18.00957,1579.0,505.0,66.0,129.94113,1188.6316,0.0
7,0,8,0,larvae-nymph small,0.0,0.0,0.01,0.0,0.86,0.13,1131.0914,500.17612,546.5,1117.1241,494.52847,2.7863967,40.254803,1.5717291,166289.67,6262.0,0.65091026,1122.0,496.5,4076.0,4.0,24.844032,13.478328,99.84473,98.84942,158.05453,42.0,26.0,17.0,65.827774,48.718597,40.02576,1072.0,466.0,99.84473,95.68583,85.96396,95.68583,98.84942,87.9864,85.96396,87.9864,158.05453,4076.0,0.53454655,-0.4816933,-0.694429,0.5371912,-0.44067606,0.7191872,0.65244585,0.75748014,-0.02319955,1173.0,528.0,1117.1241,494.52847,-0.328463,-0.4817818,0.73870754,0.9887246,-0.14974551,-0.14974551,-0.9887246,268314.0,198577.0,163145.0,99.0,80.0,86.0,0.42747954,0.37013677,1.1166629,366.07507,518.2989,632.4754,123.72478,114.93331,124.71335,43.0,29.0,30.0,366.07507,430.68985,444.32114,430.68985,518.2989,534.05054,444.32114,534.05054,632.4754,0.91657203,0.43574497,0.15431789,1298739.0,1206455.0,1309116.0,149.0,141.0,162.0,-1.2739744,-1.1705755,-0.98485094,91.235954,15.387593,1121.0,492.0,63.0,113.84062,969.4184,0.0
8,0,9,0,molt,0.0,0.0,0.0,0.0,0.0,1.0,2116.3486,507.87927,109.75,2119.4587,509.04828,-4.414302,13.646487,-0.18999812,6010.9165,936.0,0.5309829,2118.0,508.5,497.0,4.0,9.893426,4.7939315,234.37634,350.38007,301.6515,81.0,65.0,75.0,116.45071,103.62173,107.5835,2099.0,497.0,234.37634,282.1544,235.50563,282.1544,350.38007,300.57285,235.50563,300.57285,301.6515,497.0,0.51389444,-0.50295633,-0.6949442,0.63825464,-0.31711063,0.70147836,0.5731872,0.80403715,-0.15805283,2138.0,521.0,2119.4587,509.04828,-0.7017461,-1.0226086,-0.9557754,0.95173013,0.30693606,0.30693606,-0.95173013,57876.0,51500.0,53469.0,139.0,133.0,143.0,-0.52994823,-0.34312916,0.0059990115,770.0369,932.4958,1243.6482,121.78818,112.68157,123.55902,33.0,23.0,27.0,770.0369,839.6524,940.7884,839.6524,932.4958,1047.498,940.7884,1047.498,1243.6482,1.208503,0.46376055,0.116577014,702596.0,650060.0,712812.0,162.0,155.0,172.0,-1.4505898,-1.260925,-1.115613,13.416408,19.356602,2124.0,508.0,4.0,56.526913,77.42641,0.0
9,0,10,0,larvae-nymph small,0.0,0.0,0.07,0.0,0.87,0.06,2100.4553,572.61914,422.75,2088.4832,561.90533,-0.40995592,35.143177,0.3989278,115334.914,5040.0,0.66448414,2092.5,565.5,3349.0,4.0,17.341986,16.819046,77.30802,62.533382,106.581154,20.0,14.0,18.0,40.055836,31.358614,38.022694,2058.0,530.0,77.30802,64.68048,70.057556,64.68048,62.533382,67.577705,70.057556,67.577705,106.581154,3349.0,0.55668044,-0.58666736,-0.58815664,0.5121809,-0.31503946,0.7990124,0.6540471,0.74603724,-0.12510353,2128.0,602.0,2088.4832,561.90533,1.6558791,2.2763221,5.100395,0.9986711,0.051535998,0.051535998,-0.9986711,134147.0,105020.0,127338.0,77.0,65.0,91.0,1.1660076,1.3923986,1.9418985,1057.0361,1185.9333,1356.7887,117.09329,107.85459,119.866356,38.0,28.0,27.0,1057.0361,1109.6299,1124.2369,1109.6299,1185.9333,1216.1782,1124.2369,1216.1782,1356.7887,-0.8385211,-1.0660357,-0.8639678,1134634.0,1045111.0,1161505.0,163.0,156.0,175.0,-0.6312382,-0.53478247,-0.5214769,56.35601,13.563397,2087.0,562.0,54.0,94.325905,732.42346,0.0
